Recycle_Schedule,Residual Day,Primary Address Identifier,Secondary Address Identifier,Street,Locality
6,TUESDAY,28,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,29,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,31,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,32,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,33,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,35,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,36,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,37,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,39,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,40,,SPRINGFIELD AVENUE,HUTTON
3,WEDNESDAY,19,,BRIARWOOD,KELVEDON HATCH
6,TUESDAY,41,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,43,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,45,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,47,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,49,,SPRINGFIELD AVENUE,HUTTON
5,MONDAY,1,,SPURGATE,HUTTON
5,MONDAY,3,,SPURGATE,HUTTON
5,MONDAY,5,,SPURGATE,HUTTON
5,MONDAY,6,,SPURGATE,HUTTON
5,MONDAY,7,,SPURGATE,HUTTON
11,WEDNESDAY,21,,ALBERT STREET,WARLEY
3,WEDNESDAY,20,,BRIARWOOD,KELVEDON HATCH
5,MONDAY,8,,SPURGATE,HUTTON
5,MONDAY,9,,SPURGATE,HUTTON
5,MONDAY,10,,SPURGATE,HUTTON
5,MONDAY,11,,SPURGATE,HUTTON
5,MONDAY,12,,SPURGATE,HUTTON
5,MONDAY,13,,SPURGATE,HUTTON
5,MONDAY,14,,SPURGATE,HUTTON
5,MONDAY,15,,SPURGATE,HUTTON
5,MONDAY,16,,SPURGATE,HUTTON
5,MONDAY,17,,SPURGATE,HUTTON
3,WEDNESDAY,21,,BRIARWOOD,KELVEDON HATCH
5,MONDAY,18,,SPURGATE,HUTTON
5,MONDAY,19,,SPURGATE,HUTTON
5,MONDAY,20,,SPURGATE,HUTTON
5,MONDAY,21,,SPURGATE,HUTTON
5,MONDAY,22,,SPURGATE,HUTTON
5,MONDAY,23,,SPURGATE,HUTTON
5,MONDAY,24,,SPURGATE,HUTTON
5,MONDAY,26,,SPURGATE,HUTTON
5,MONDAY,27,,SPURGATE,HUTTON
5,MONDAY,28,,SPURGATE,HUTTON
3,WEDNESDAY,23,,BRIARWOOD,KELVEDON HATCH
5,MONDAY,29,,SPURGATE,HUTTON
5,MONDAY,30,,SPURGATE,HUTTON
5,MONDAY,31,,SPURGATE,HUTTON
5,MONDAY,32,,SPURGATE,HUTTON
5,MONDAY,33,,SPURGATE,HUTTON
5,MONDAY,34,,SPURGATE,HUTTON
5,MONDAY,35,,SPURGATE,HUTTON
5,MONDAY,36,,SPURGATE,HUTTON
5,MONDAY,37,,SPURGATE,HUTTON
5,MONDAY,38,,SPURGATE,HUTTON
4,FRIDAY,1,,BRIDGE CLOSE,BRENTWOOD
5,MONDAY,39,,SPURGATE,HUTTON
5,MONDAY,40,,SPURGATE,HUTTON
5,MONDAY,41,,SPURGATE,HUTTON
5,MONDAY,42,,SPURGATE,HUTTON
5,MONDAY,43,,SPURGATE,HUTTON
5,MONDAY,44,,SPURGATE,HUTTON
5,MONDAY,45,,SPURGATE,HUTTON
5,MONDAY,46,,SPURGATE,HUTTON
5,MONDAY,47,,SPURGATE,HUTTON
5,MONDAY,48,,SPURGATE,HUTTON
4,FRIDAY,2,,BRIDGE CLOSE,BRENTWOOD
5,MONDAY,49,,SPURGATE,HUTTON
5,MONDAY,51,,SPURGATE,HUTTON
5,MONDAY,52,,SPURGATE,HUTTON
5,MONDAY,53,,SPURGATE,HUTTON
5,MONDAY,54,,SPURGATE,HUTTON
5,MONDAY,56,,SPURGATE,HUTTON
5,MONDAY,58,,SPURGATE,HUTTON
5,MONDAY,60,,SPURGATE,HUTTON
5,MONDAY,62,,SPURGATE,HUTTON
5,MONDAY,64,,SPURGATE,HUTTON
4,FRIDAY,3,,BRIDGE CLOSE,BRENTWOOD
5,MONDAY,68,,SPURGATE,HUTTON
5,MONDAY,70,,SPURGATE,HUTTON
5,MONDAY,COBWEBS 72,,SPURGATE,HUTTON
4,FRIDAY,1,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,2,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,3,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,4,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,5,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,6,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,4,,BRIDGE CLOSE,BRENTWOOD
4,FRIDAY,7,,ST ANDREWS PLACE,SHENFIELD
4,FRIDAY,8,,ST ANDREWS PLACE,SHENFIELD
